Date,Total Sleep Hours,First Sleep Start,Last Sleep End,Number of Sessions,Year,Month,Month Name,Day of Week,Day of Month,Week of Year,Bedtime,Wake Time,Sleep Duration (minutes)
2022-06-14,6.034722222222222,2022-06-14 01:57:55+03:00,2022-06-14 01:57:55+03:00,1,2022,6,June,Tuesday,14,24,01:57,01:57,362.0833333333333
2022-06-15,6.070833333333334,2022-06-15 01:55:45+03:00,2022-06-15 01:55:45+03:00,1,2022,6,June,Wednesday,15,24,01:55,01:55,364.25
2022-06-16,6.0841666666666665,2022-06-16 01:54:59+03:00,2022-06-16 01:54:59+03:00,1,2022,6,June,Thursday,16,24,01:54,01:54,365.05
2022-06-17,6.059722222222222,2022-06-17 01:11:19+03:00,2022-06-17 01:11:19+03:00,1,2022,6,June,Friday,17,24,01:11,01:11,363.5833333333333
2022-06-20,5.914444444444444,2022-06-20 02:05:08+03:00,2022-06-20 02:05:08+03:00,1,2022,6,June,Monday,20,25,02:05,02:05,354.8666666666667
2022-06-21,6.458333333333333,2022-06-21 01:32:21+03:00,2022-06-21 07:35:47+03:00,2,2022,6,June,Tuesday,21,25,01:32,07:35,387.5
2022-06-22,5.052777777777778,2022-06-22 02:56:50+03:00,2022-06-22 02:56:50+03:00,1,2022,6,June,Wednesday,22,25,02:56,02:56,303.1666666666667
2022-06-23,4.785277777777778,2022-06-23 03:12:53+03:00,2022-06-23 03:12:53+03:00,1,2022,6,June,Thursday,23,25,03:12,03:12,287.1166666666667
2022-06-24,3.378888888888889,2022-06-24 04:37:16+03:00,2022-06-24 04:37:16+03:00,1,2022,6,June,Friday,24,25,04:37,04:37,202.73333333333335
2022-06-27,3.6405555555555558,2022-06-27 03:24:55+03:00,2022-06-27 03:24:55+03:00,1,2022,6,June,Monday,27,26,03:24,03:24,218.43333333333334
2022-06-28,4.4286111111111115,2022-06-28 02:46:36+03:00,2022-06-28 02:46:36+03:00,1,2022,6,June,Tuesday,28,26,02:46,02:46,265.7166666666667
2022-06-29,6.28,2022-06-29 01:21:46+03:00,2022-06-29 01:21:46+03:00,1,2022,6,June,Wednesday,29,26,01:21,01:21,376.8
2022-06-30,1.305,2022-06-30 04:48:39+03:00,2022-06-30 06:34:03+03:00,2,2022,6,June,Thursday,30,26,04:48,06:34,78.3
2022-07-01,5.800277777777778,2022-07-01 00:55:00+03:00,2022-07-01 07:13:23+03:00,2,2022,7,July,Friday,1,26,00:55,07:13,348.01666666666665
2022-07-04,5.354166666666667,2022-07-04 02:38:46+03:00,2022-07-04 02:38:46+03:00,1,2022,7,July,Monday,4,27,02:38,02:38,321.25
2022-07-05,6.690277777777778,2022-07-05 01:17:46+03:00,2022-07-05 07:34:22+03:00,2,2022,7,July,Tuesday,5,27,01:17,07:34,401.4166666666667
2022-07-06,4.795833333333333,2022-07-06 03:12:15+03:00,2022-07-06 03:12:15+03:00,1,2022,7,July,Wednesday,6,27,03:12,03:12,287.75
2022-07-07,4.070277777777778,2022-07-07 03:55:47+03:00,2022-07-07 03:55:47+03:00,1,2022,7,July,Thursday,7,27,03:55,03:55,244.2166666666667
2022-07-08,6.051944444444445,2022-07-08 01:56:54+03:00,2022-07-08 01:56:54+03:00,1,2022,7,July,Friday,8,27,01:56,01:56,363.1166666666667
2022-07-11,5.265555555555555,2022-07-11 02:44:06+03:00,2022-07-11 02:44:06+03:00,1,2022,7,July,Monday,11,28,02:44,02:44,315.93333333333334
2022-07-12,5.5975,2022-07-12 02:17:04+03:00,2022-07-12 02:17:04+03:00,1,2022,7,July,Tuesday,12,28,02:17,02:17,335.85
2022-07-13,4.4847222222222225,2022-07-13 03:30:55+03:00,2022-07-13 03:30:55+03:00,1,2022,7,July,Wednesday,13,28,03:30,03:30,269.08333333333337
2022-07-14,7.0522222222222215,2022-07-14 00:55:00+03:00,2022-07-14 05:16:55+03:00,2,2022,7,July,Thursday,14,28,00:55,05:16,423.13333333333327
2022-07-15,4.126944444444445,2022-07-15 03:52:23+03:00,2022-07-15 03:52:23+03:00,1,2022,7,July,Friday,15,28,03:52,03:52,247.61666666666667
2022-07-18,5.493055555555555,2022-07-18 02:29:11+03:00,2022-07-18 05:26:40+03:00,2,2022,7,July,Monday,18,29,02:29,05:26,329.5833333333333
2022-07-19,7.083333333333333,2022-07-19 00:55:00+03:00,2022-07-19 00:55:00+03:00,1,2022,7,July,Tuesday,19,29,00:55,00:55,425.0
2022-07-20,4.413055555555555,2022-07-20 03:34:45+03:00,2022-07-20 05:11:26+03:00,2,2022,7,July,Wednesday,20,29,03:34,05:11,264.7833333333333
2022-07-21,7.083333333333333,2022-07-21 00:55:00+03:00,2022-07-21 00:55:00+03:00,1,2022,7,July,Thursday,21,29,00:55,00:55,425.0
2022-07-22,6.296666666666667,2022-07-22 01:42:12+03:00,2022-07-22 01:42:12+03:00,1,2022,7,July,Friday,22,29,01:42,01:42,377.8
2022-07-25,4.945555555555556,2022-07-25 03:03:17+03:00,2022-07-25 03:03:17+03:00,1,2022,7,July,Monday,25,30,03:03,03:03,296.73333333333335
2022-07-26,7.078333333333333,2022-07-26 00:55:00+03:00,2022-07-26 06:26:41+03:00,2,2022,7,July,Tuesday,26,30,00:55,06:26,424.7
2022-07-27,5.912222222222222,2022-07-27 01:05:36+03:00,2022-07-27 01:05:36+03:00,1,2022,7,July,Wednesday,27,30,01:05,01:05,354.7333333333333
2022-07-28,4.378055555555555,2022-07-28 02:40:31+03:00,2022-07-28 02:40:31+03:00,1,2022,7,July,Thursday,28,30,02:40,02:40,262.6833333333333
2022-07-29,5.701111111111111,2022-07-29 00:55:00+03:00,2022-07-29 04:45:08+03:00,2,2022,7,July,Friday,29,30,00:55,04:45,342.0666666666666
2022-08-01,2.2472222222222222,2022-08-01 02:04:15+03:00,2022-08-01 02:04:15+03:00,1,2022,8,August,Monday,1,31,02:04,02:04,134.83333333333334
2022-08-02,4.15,2022-08-02 01:47:47+03:00,2022-08-02 01:47:47+03:00,1,2022,8,August,Tuesday,2,31,01:47,01:47,249.00000000000003
2022-08-03,7.083333333333333,2022-08-03 00:55:00+03:00,2022-08-03 00:55:00+03:00,1,2022,8,August,Wednesday,3,31,00:55,00:55,425.0
2022-08-04,5.835555555555556,2022-08-04 02:09:54+03:00,2022-08-04 02:09:54+03:00,1,2022,8,August,Thursday,4,31,02:09,02:09,350.1333333333333
2022-08-05,6.793333333333333,2022-08-05 01:12:26+03:00,2022-08-05 01:12:26+03:00,1,2022,8,August,Friday,5,31,01:12,01:12,407.59999999999997
2022-08-08,7.083611111111111,2022-08-08 00:55:00+03:00,2022-08-08 00:55:00+03:00,1,2022,8,August,Monday,8,32,00:55,00:55,425.01666666666665
2022-08-09,5.8438888888888885,2022-08-09 02:09:22+03:00,2022-08-09 02:09:22+03:00,1,2022,8,August,Tuesday,9,32,02:09,02:09,350.6333333333333
2022-08-10,5.865555555555556,2022-08-10 02:08:05+03:00,2022-08-10 02:08:05+03:00,1,2022,8,August,Wednesday,10,32,02:08,02:08,351.93333333333334
2022-08-11,6.506944444444445,2022-08-11 01:29:35+03:00,2022-08-11 01:29:35+03:00,1,2022,8,August,Thursday,11,32,01:29,01:29,390.4166666666667
2022-08-12,4.897222222222222,2022-08-12 02:40:04+03:00,2022-08-12 02:40:04+03:00,1,2022,8,August,Friday,12,32,02:40,02:40,293.8333333333333
2022-08-15,6.582777777777777,2022-08-15 01:25:03+03:00,2022-08-15 01:25:03+03:00,1,2022,8,August,Monday,15,33,01:25,01:25,394.96666666666664
2022-08-16,4.9,2022-08-16 02:40:39+03:00,2022-08-16 07:35:26+03:00,4,2022,8,August,Tuesday,16,33,02:40,07:35,294.0
2022-08-17,4.133333333333334,2022-08-17 03:52:00+03:00,2022-08-17 03:52:00+03:00,1,2022,8,August,Wednesday,17,33,03:52,03:52,248.00000000000003
2022-08-18,4.185833333333333,2022-08-18 03:48:54+03:00,2022-08-18 03:48:54+03:00,1,2022,8,August,Thursday,18,33,03:48,03:48,251.14999999999998
2022-08-19,5.181111111111111,2022-08-19 02:49:08+03:00,2022-08-19 02:49:08+03:00,1,2022,8,August,Friday,19,33,02:49,02:49,310.8666666666667
2022-08-22,6.601111111111111,2022-08-22 01:23:56+03:00,2022-08-22 01:23:56+03:00,1,2022,8,August,Monday,22,34,01:23,01:23,396.06666666666666
